Model	Overall	Easy	Hard	Short	Medium	Long
GLM-4-9B-Chat	8.6	7.7	9.1	22.2	6.7	0.0
GLM-4-9B-Chat_cot	0	0	0	0	0	0
GLM-4-9B-Chat_rag_10	26.8	22.4	29.6	29.4	26.0	24.1
GLM-4-9B-Chat_rag_5	26.8	22.4	29.6	29.4	26.0	24.1
Llama-3-8b-hf	0	0	0	0	0	0
Llama-3-8b-hf_rag_5	0	0	0	0	0	0
Llama-3.1-8B-Instruct	0	0	0	0	0	0
llama3	0	0	0	0	0	0
Meta-Llama-3-8B-Instruct	0	0	0	0	0	0
Mistral-7B-Instruct	23.7	26.0	22.2	26.7	22.3	21.3
Mistral-7B-Instruct_rag_10	25.8	24.0	27.0	30.6	26.0	17.6
Mistral-7B-Instruct_rag_5	25.8	24.0	27.0	30.6	26.0	17.6
Mistral-Large-Instruct-2407	0	0	0	0	0	0
Mistral-Large-Instruct-2407_rag_5	0	0	0	0	0	0
Qwen2.5-7B-Instruct	0	0	0	0	0	0
Qwen2.5-7B-Instruct_rag_10	29.6	31.8	28.3	34.4	25.1	30.6
Qwen2.5-7B-Instruct_rag_5	29.6	31.8	28.3	34.4	25.1	30.6
